,1,2,,3 4,5,
,enable mongo,Install rabbit package,using,Start rabbit nodes,edxapp : install python requirements,normal migrate
,Unable to enable service mongod:,FAILED.*rabbitmq.*delta,,Unable to start service rabbitmq,,
FsDf_6p_migrate2x_vm.txt,f,f,gdebi,f,*_5.txt,y
DsDf_4p_vm.txt,f,f,gdebi,p,p,
FsGink_2p_migrate2x_vm.txt,f,p,,p,p,y
DsGink_2p_vm.txt,f,p,,p,p,
,,,,,,
FsDf_2p_migrate2x_travis.txt,p,p,gdebi,p,f,y
FsFic_2p_migrate2x_travis.txt,p,p,gdebi,p,f,y
,,,,,,
DsDf_2p_travis.txt,p,p,gdebi,p,f,
DsFic_2p_travis.txt,p,p,gdebi,p,f,
,,,,,,
,,,,,,
DsEdxMaster_1p_travis.txt,,p,,p,p,
DsEdxMaster_1p_vm.txt,,p,,p,p,
DsGink_1p_travis.txt,p,p,,p,p,
FsEdxMaster_1p_travis.txt,,p,,p,p,
FsEdxMaster_1p_vm.txt,,p,,p,p,
FsGink_1p_travis.txt,p,p,,p,p,
,,,,,,
,4,2,,2,5,
